type,city,district,session,name,photo,party,gender,age,education,hair,opinion,lat,lon
分區立委,台北市,第8選區,文山區 中正區10里,賴士葆,http://g0v-data.github.io/cec-crawler/images/000-%E8%87%BA%E5%8C%97%E5%B8%82-%E7%AC%AC8%E9%81%B8%E8%88%89%E5%8D%80-4-%E8%B3%B4%E5%A3%AB%E8%91%86.jpg,中國國民黨,M,65,博士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303142313030353435333535,24.966504,121.604437
分區立委,台北市,第8選區,,李慶元,http://g0v-data.github.io/cec-crawler/images/000-%E8%87%BA%E5%8C%97%E5%B8%82-%E7%AC%AC8%E9%81%B8%E8%88%89%E5%8D%80-1-%E6%9D%8E%E6%85%B6%E5%85%83.jpg,無黨籍,M,58,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303141313233373737393136,24.966504,121.604437
分區立委,新北市,第1選區,石門區 三芝區 淡水區 八里區 林口區 泰山區,吳育昇,http://g0v-data.github.io/cec-crawler/images/000-%E6%96%B0%E5%8C%97%E5%B8%82-%E7%AC%AC1%E9%81%B8%E8%88%89%E5%8D%80-1-%E5%90%B3%E8%82%B2%E6%98%87.jpg,中國國民黨,M,58,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303151313033313636373332,25.28187,121.553167
分區立委,新北市,第1選區,,呂孫綾,http://g0v-data.github.io/cec-crawler/images/000-%E6%96%B0%E5%8C%97%E5%B8%82-%E7%AC%AC1%E9%81%B8%E8%88%89%E5%8D%80-4-%E5%91%82%E5%AD%AB%E7%B6%BE.jpg,民主進步黨,F,28,碩士,長,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303146323236393339313032,25.28187,121.553167
分區立委,新北市,第2選區,五股區 蘆洲區 三重區16里,林淑芬,http://g0v-data.github.io/cec-crawler/images/000-%E6%96%B0%E5%8C%97%E5%B8%82-%E7%AC%AC2%E9%81%B8%E8%88%89%E5%8D%80-2-%E6%9E%97%E6%B7%91%E8%8A%AC.jpg,民主進步黨,F,43,其他,中,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/31303430343030314e323231363938393739,25.138189,121.377844
分區立委,新北市,第2選區,,陳明義,http://g0v-data.github.io/cec-crawler/images/000-%E6%96%B0%E5%8C%97%E5%B8%82-%E7%AC%AC2%E9%81%B8%E8%88%89%E5%8D%80-1-%E9%99%B3%E6%98%8E%E7%BE%A9.jpg,中國國民黨,M,49,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303158313230323637353535,25.138189,121.377844
分區立委,新北市,第3選區,三重區103里,高志鵬,http://g0v-data.github.io/cec-crawler/images/000-%E6%96%B0%E5%8C%97%E5%B8%82-%E7%AC%AC3%E9%81%B8%E8%88%89%E5%8D%80-4-%E9%AB%98%E5%BF%97%E9%B5%AC.jpg,民主進步黨,M,53,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303143313230333231323039,25.09145,121.484726
分區立委,新北市,第3選區,,李乾龍,http://g0v-data.github.io/cec-crawler/images/000-%E6%96%B0%E5%8C%97%E5%B8%82-%E7%AC%AC3%E9%81%B8%E8%88%89%E5%8D%80-3-%E6%9D%8E%E4%B9%BE%E9%BE%8D.jpg,中國國民黨,M,67,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303146313030323338383836,25.09145,121.484726
分區立委,新北市,第4選區,新莊區75里,吳秉叡,http://g0v-data.github.io/cec-crawler/images/000-%E6%96%B0%E5%8C%97%E5%B8%82-%E7%AC%AC4%E9%81%B8%E8%88%89%E5%8D%80-2-%E5%90%B3%E7%A7%89%E5%8F%A1.jpg,民主進步黨,M,50,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303156313230313836343131,25.042003,121.396148
分區立委,新北市,第4選區,,陳茂嘉,http://g0v-data.github.io/cec-crawler/images/000-%E6%96%B0%E5%8C%97%E5%B8%82-%E7%AC%AC4%E9%81%B8%E8%88%89%E5%8D%80-4-%E9%99%B3%E8%8C%82%E5%98%89.jpg,中國國民黨,M,44,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303150313231353139303938,25.042003,121.396148
分區立委,新北市,第5選區,樹林區 鶯歌區 新莊區9里,蘇巧慧,http://g0v-data.github.io/cec-crawler/images/000-%E6%96%B0%E5%8C%97%E5%B8%82-%E7%AC%AC5%E9%81%B8%E8%88%89%E5%8D%80-1-%E8%98%87%E5%B7%A7%E6%85%A7.jpg,民主進步黨,F,40,碩士,中,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303141323233333136383731,24.977444,121.35083
分區立委,新北市,第5選區,,黃志雄,http://g0v-data.github.io/cec-crawler/images/000-%E6%96%B0%E5%8C%97%E5%B8%82-%E7%AC%AC5%E9%81%B8%E8%88%89%E5%8D%80-3-%E9%BB%83%E5%BF%97%E9%9B%84.jpg,中國國民黨,M,40,博士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303146313233383231393837,24.977444,121.35083
分區立委,新北市,第6選區,板橋區（縣民大道 湳仔溝以西）65里,林國春,http://g0v-data.github.io/cec-crawler/images/000-%E6%96%B0%E5%8C%97%E5%B8%82-%E7%AC%AC6%E9%81%B8%E8%88%89%E5%8D%80-8-%E6%9E%97%E5%9C%8B%E6%98%A5.jpg,中國國民黨,M,48,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303157313030323635343935,25.011185,121.445769
分區立委,新北市,第6選區,,張宏陸,http://g0v-data.github.io/cec-crawler/images/000-%E6%96%B0%E5%8C%97%E5%B8%82-%E7%AC%AC6%E9%81%B8%E8%88%89%E5%8D%80-9-%E5%BC%B5%E5%AE%8F%E9%99%B8.jpg,民主進步黨,M,44,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/31303430343030314c313230393533333739,25.011185,121.445769
分區立委,新北市,第7選區,板橋區（縣民大道 湳仔溝以東）61里,江惠貞,http://g0v-data.github.io/cec-crawler/images/000-%E6%96%B0%E5%8C%97%E5%B8%82-%E7%AC%AC7%E9%81%B8%E8%88%89%E5%8D%80-4-%E6%B1%9F%E6%83%A0%E8%B2%9E.jpg,中國國民黨,F,53,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303146323231333731383937,25.012896,121.477441
