105030, 2016/04/26 04:51, 8.6, 4.2, 花蓮縣政府西偏南方  3.9  公里 (位於花蓮縣吉安鄉)
105029, 2016/04/25 22:35, 9.5, 4.2, 花蓮縣政府南偏東方  4.2  公里 (位於花蓮縣近海)
105028, 2016/04/25 10:58, 6.1, 4.2, 臺東縣政府北偏西方  48.2  公里 (位於臺東縣海端鄉)
105027, 2016/04/19 04:30, 17.7, 4.4, 臺南市政府東北方  25.2  公里 (位於臺南市官田區)
105026, 2016/04/18 07:12, 3.6, 4, 臺東縣政府北偏西方  47.2  公里 (位於臺東縣海端鄉)
105025, 2016/04/16 18:55, 11.8, 5.2, 臺東縣政府東偏南方  75.3  公里 (位於臺灣東部海域)
105024, 2016/04/12 11:08, 9.3, 4.4, 花蓮縣政府北偏西方  2.6  公里 (位於花蓮縣花蓮市)
105023, 2016/04/11 13:45, 59.8, 5.7, 宜蘭縣政府東偏南方  41.7  公里 (位於臺灣東部海域)
105022, 2016/03/22 02:34, 11.8, 4.3, 臺東縣政府南偏西方  51.5  公里 (位於臺灣東部海域)
105021, 2016/03/06 02:11, 70.5, 4.7, 宜蘭縣政府南偏東方  1.8  公里 (位於宜蘭縣壯圍鄉)
105020, 2016/03/02 22:07, 32.7, 4, 臺南市政府南偏東方  14.7  公里 (位於高雄市湖內區)
105019, 2016/03/01 22:42, 18.6, 4.3, 花蓮縣政府西北方  15.7  公里 (位於花蓮縣秀林鄉)
105018, 2016/02/27 10:59, 12.8, 4.8, 臺東縣政府南偏西方  48.5  公里 (位於臺灣東部海域)
105017, 2016/02/19 05:20, 24.4, 4.3, 臺南市政府東方  17.0  公里 (位於臺南市龍崎區)
105016, 2016/02/19 04:35, 12.3, 3.6, 花蓮縣政府北偏東方  43.0  公里 (位於宜蘭縣近海)
105015, 2016/02/18 09:18, 4.3, 5.1, 臺東縣政府西北方  41.2  公里 (位於臺東縣海端鄉)
105014, 2016/02/18 09:09, 5.4, 5.3, 臺東縣政府西北方  40.9  公里 (位於臺東縣海端鄉)
105013, 2016/02/16 12:04, 5, 5, 臺東縣政府西北方  40.5  公里 (位於臺東縣海端鄉)
105012, 2016/02/14 01:07, 5.7, 4.1, 苗栗縣政府東南方  49.9  公里 (位於臺中市和平區)
105011, 2016/02/09 08:47, 5.7, 5.1, 花蓮縣政府東南方  13.5  公里 (位於花蓮縣近海)
105010, 2016/02/06 21:41, 23.4, 3.5, 臺南市政府東方  19.3  公里 (位於臺南市龍崎區)
105009, 2016/02/06 05:07, 21.1, 4.3, 臺南市政府東方  18.4  公里 (位於臺南市新化區)
105008, 2016/02/06 04:03, 26.8, 4.5, 臺南市政府東偏南方  13.4  公里 (位於臺南市關廟區)
105007, 2016/02/06 04:01, 23.2, 4.6, 臺南市政府東方  17.4  公里 (位於臺南市新化區)
105006, 2016/02/06 03:57, 14.6, 6.6, 屏東縣政府北偏東方  27.1  公里 (位於高雄市美濃區)
105005, 2016/02/02 22:19, 203.7, 6.7, 基隆市政府東方  183.2  公里 (位於臺灣東北部海域)
105004, 2016/01/19 10:13, 29.7, 5.8, 臺東縣政府東方  17.0  公里 (位於臺灣東部海域)
105003, 2016/01/11 12:52, 33.2, 5.3, 花蓮縣政府南方  62.4  公里 (位於花蓮縣近海)
105002, 2016/01/03 22:01, 66.4, 4.9, 宜蘭縣政府東偏南方  35.4  公里 (位於臺灣東部海域)
105001, 2016/01/02 09:25, 20.5, 3.9, 花蓮縣政府西南方  33.9  公里 (位於花蓮縣萬榮鄉)
104100, 2015/12/31 08:53, 147.4, 5, 臺東縣政府南偏東方  163.6  公里 (位於臺灣東南部海域)
104099, 2015/12/26 12:05, 15.7, 4.4, 花蓮縣政府北偏東方  25.5  公里 (位於花蓮縣近海)
104098, 2015/12/26 05:10, 11.3, 3.7, 新竹縣政府東方  22.4  公里 (位於新竹縣關西鎮)
104097, 2015/12/25 05:20, 21.2, 4.6, 臺中市政府東偏南方  36.9  公里 (位於南投縣仁愛鄉)
104096, 2015/12/25 03:18, 7.4, 4.1, 南投縣政府東方  37.0  公里 (位於南投縣仁愛鄉)
104095, 2015/12/22 14:08, 27.7, 4.4, 花蓮縣政府南方  19.7  公里 (位於花蓮縣近海)
104094, 2015/12/14 15:19, 22.3, 4.2, 花蓮縣政府西偏南方  18.0  公里 (位於花蓮縣秀林鄉)
104093, 2015/12/12 23:47, 12.4, 4.6, 臺東縣政府北偏東方  71.0  公里 (位於花蓮縣玉里鎮)
104092, 2015/12/12 23:39, 13, 4.4, 臺東縣政府北偏東方  71.5  公里 (位於花蓮縣玉里鎮)
104091, 2015/12/06 12:42, 24.5, 4.5, 花蓮縣政府東偏北方  34.8  公里 (位於臺灣東部海域)
104090, 2015/12/03 22:31, 25.9, 5.3, 臺東縣政府東偏南方  29.4  公里 (位於臺灣東部海域)
104089, 2015/12/03 09:37, 71.3, 4.4, 宜蘭縣政府東北方  7.9  公里 (位於宜蘭縣壯圍鄉)
104088, 2015/12/02 13:53, 24.3, 4.6, 花蓮縣政府東北方  35.0  公里 (位於臺灣東部海域)
104087, 2015/12/02 13:21, 23.9, 4.9, 花蓮縣政府東北方  36.9  公里 (位於臺灣東部海域)
104086, 2015/11/29 01:02, 9.2, 3.6, 花蓮縣政府北偏東方  19.1  公里 (位於花蓮縣近海)
104085, 2015/11/22 22:18, 19.4, 3.8, 花蓮縣政府西偏南方  17.2  公里 (位於花蓮縣秀林鄉)
104084, 2015/11/11 23:33, 95.6, 5.5, 宜蘭縣政府東偏南方  104.3  公里 (位於臺灣東部海域)
104083, 2015/11/10 22:53, 14.2, 4.5, 宜蘭縣政府東方  55.6  公里 (位於臺灣東部海域)
104082, 2015/11/05 17:06, 47.9, 5, 花蓮縣政府東偏南方  22.2  公里 (位於臺灣東部海域)
104081, 2015/11/03 08:06, 8.9, 4.8, 宜蘭縣政府東偏北方  29.8  公里 (位於臺灣東部海域)
104080, 2015/11/02 05:09, 18.8, 5.9, 臺東縣政府東方  44.5  公里 (位於臺灣東部海域)
104079, 2015/10/21 09:14, 9.4, 4.5, 臺東縣政府西南方  27.5  公里 (位於臺東縣近海)
104078, 2015/10/19 10:17, 14.4, 5.3, 宜蘭縣政府東偏北方  29.1  公里 (位於臺灣東部海域)
104077, 2015/10/18 19:04, 16.1, 3.8, 花蓮縣政府東北方  33.9  公里 (位於花蓮縣近海)
104076, 2015/10/16 14:35, 18.8, 3.9, 花蓮縣政府北偏東方  38.4  公里 (位於花蓮縣秀林鄉)
104075, 2015/10/16 14:30, 18.6, 4.5, 花蓮縣政府北偏東方  39.6  公里 (位於宜蘭縣南澳鄉)
104074, 2015/10/16 14:29, 18.9, 4.1, 花蓮縣政府北偏東方  38.2  公里 (位於花蓮縣秀林鄉)
104073, 2015/10/16 07:54, 18.2, 4.6, 花蓮縣政府北偏東方  40.1  公里 (位於宜蘭縣南澳鄉)
104072, 2015/10/16 07:52, 18.8, 4.6, 花蓮縣政府北偏東方  38.9  公里 (位於宜蘭縣南澳鄉)
104071, 2015/10/16 03:37, 17.6, 4.2, 花蓮縣政府北偏東方  39.7  公里 (位於宜蘭縣南澳鄉)
104070, 2015/10/16 02:17, 15.9, 4, 花蓮縣政府北偏東方  39.8  公里 (位於宜蘭縣南澳鄉)
104069, 2015/10/13 19:49, 49.1, 5.5, 花蓮縣政府南方  56.2  公里 (位於臺灣東部海域)
104068, 2015/10/12 22:25, 14.8, 4.2, 花蓮縣政府北偏東方  33.3  公里 (位於花蓮縣近海)
104067, 2015/10/12 19:14, 20.5, 5.2, 臺東縣政府東南方  47.5  公里 (位於臺灣東部海域)
104066, 2015/10/08 05:50, 17.1, 4.4, 花蓮縣政府東北方  34.1  公里 (位於花蓮縣近海)
104065, 2015/10/05 01:41, 19.1, 4.4, 臺東縣政府東偏北方  36.5  公里 (位於臺灣東部海域)
104064, 2015/10/02 13:55, 21.4, 3.7, 花蓮縣政府東北方  37.1  公里 (位於花蓮縣近海)
104063, 2015/09/30 03:37, 18.7, 4.8, 花蓮縣政府西偏北方  12.0  公里 (位於花蓮縣秀林鄉)
104062, 2015/09/24 13:58, 31.3, 4.7, 屏東縣政府東偏南方  23.1  公里 (位於屏東縣泰武鄉)
104061, 2015/09/17 01:16, 17.7, 4.2, 臺南市政府西方  9.1  公里 (位於臺南市近海)
104060, 2015/09/16 22:29, 19.2, 4.6, 花蓮縣政府北偏東方  36.7  公里 (位於花蓮縣近海)
104059, 2015/09/16 21:30, 22, 4.5, 花蓮縣政府東北方  38.5  公里 (位於花蓮縣近海)
104058, 2015/09/16 21:26, 21.9, 4.3, 花蓮縣政府東北方  38.9  公里 (位於花蓮縣近海)
104057, 2015/09/16 21:08, 20.2, 5.6, 花蓮縣政府東北方  38.8  公里 (位於花蓮縣近海)
104056, 2015/09/16 14:30, 18.5, 3.8, 花蓮縣政府東北方  34.9  公里 (位於花蓮縣近海)
104055, 2015/09/16 10:07, 18.5, 4, 花蓮縣政府東北方  35.2  公里 (位於臺灣東部海域)
104054, 2015/09/16 04:43, 18.7, 4.5, 花蓮縣政府東北方  37.3  公里 (位於花蓮縣近海)
104053, 2015/09/16 03:43, 20.9, 3.7, 花蓮縣政府東北方  37.8  公里 (位於花蓮縣近海)
104052, 2015/09/16 03:40, 18.3, 4.1, 花蓮縣政府東北方  34.9  公里 (位於花蓮縣近海)
104051, 2015/09/16 03:37, 19.8, 5.7, 花蓮縣政府東北方  35.0  公里 (位於花蓮縣近海)
104050, 2015/09/16 01:56, 19, 4.9, 花蓮縣政府東北方  36.0  公里 (位於臺灣東部海域)
104049, 2015/09/10 23:23, 18.6, 4.9, 花蓮縣政府東北方  34.6  公里 (位於臺灣東部海域)
104048, 2015/09/02 11:03, 10.7, 4.5, 宜蘭縣政府東偏北方  26.9  公里 (位於臺灣東部海域)
104047, 2015/09/02 10:18, 11.3, 4.6, 宜蘭縣政府東偏北方  30.0  公里 (位於臺灣東部海域)
104046, 2015/09/02 07:28, 18.7, 4.3, 臺東縣政府東偏南方  32.0  公里 (位於臺灣東部海域)
104045, 2015/09/01 21:24, 17.1, 5.5, 花蓮縣政府西偏南方  15.6  公里 (位於花蓮縣秀林鄉)
104044, 2015/09/01 17:34, 48.3, 4.1, 高雄市政府西偏南方  64.8  公里 (位於臺灣西部海域)
104043, 2015/08/13 22:08, 25.5, 5.7, 花蓮縣政府東方  78.5  公里 (位於臺灣東部海域)
104042, 2015/08/01 15:36, 78.4, 4.2, 宜蘭縣政府東方  5.8  公里 (位於宜蘭縣壯圍鄉)
104041, 2015/07/28 19:47, 5.7, 3.9, 宜蘭縣政府西南方  46.9  公里 (位於宜蘭縣大同鄉)
104040, 2015/07/28 14:59, 6, 4.7, 宜蘭縣政府西南方  47.2  公里 (位於宜蘭縣大同鄉)
104039, 2015/07/28 14:27, 6.5, 4.3, 宜蘭縣政府西南方  47.1  公里 (位於宜蘭縣大同鄉)
104038, 2015/07/25 18:25, 22.2, 4.5, 臺東縣政府北偏東方  50.2  公里 (位於臺東縣成功鎮)
104037, 2015/07/23 00:26, 10.5, 4.2, 花蓮縣政府西南方  18.7  公里 (位於花蓮縣壽豐鄉)
104036, 2015/07/10 17:38, 8.6, 4.4, 嘉義市政府南方  29.0  公里 (位於臺南市六甲區)
104035, 2015/07/04 11:10, 19.2, 3.9, 花蓮縣政府西偏南方  15.0  公里 (位於花蓮縣秀林鄉)
104034, 2015/07/02 15:44, 27.3, 4.2, 南投縣政府東方  36.8  公里 (位於南投縣仁愛鄉)
104033, 2015/06/16 23:16, 31.5, 4.7, 花蓮縣政府南方  55.6  公里 (位於臺灣東部海域)
104032, 2015/06/09 01:22, 49, 4.3, 宜蘭縣政府西南方  11.7  公里 (位於宜蘭縣三星鄉)
104031, 2015/06/07 12:32, 28.1, 4, 花蓮縣政府東偏南方  8.3  公里 (位於花蓮縣近海)
