type,city,district,session,name,photo,party,gender,age,education,hair,opinion,lat,lon
分區立委,新北市,第7選區,,羅致政,http://g0v-data.github.io/cec-crawler/images/000-%E6%96%B0%E5%8C%97%E5%B8%82-%E7%AC%AC7%E9%81%B8%E8%88%89%E5%8D%80-2-%E7%BE%85%E8%87%B4%E6%94%BF.jpg,民主進步黨,M,52,博士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/31303430343030314b313230333334383536,24.93101,121.56767
分區立委,新北市,第8選區,,江永昌,http://g0v-data.github.io/cec-crawler/images/000-%E6%96%B0%E5%8C%97%E5%B8%82-%E7%AC%AC8%E9%81%B8%E8%88%89%E5%8D%80-1-%E6%B1%9F%E6%B0%B8%E6%98%8C.jpg,民主進步黨,M,47,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303146313231383633373831,24.60619,121.5563
分區立委,新北市,第9選區,永和區 中和區17里,林德福,http://g0v-data.github.io/cec-crawler/images/000-%E6%96%B0%E5%8C%97%E5%B8%82-%E7%AC%AC9%E9%81%B8%E8%88%89%E5%8D%80-4-%E6%9E%97%E5%BE%B7%E7%A6%8F.jpg,中國國民黨,M,63,高中,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303146313032383731393639,24.77332,121.59941
分區立委,新北市,第10選區,,吳琪銘,http://g0v-data.github.io/cec-crawler/images/000-%E6%96%B0%E5%8C%97%E5%B8%82-%E7%AC%AC10%E9%81%B8%E8%88%89%E5%8D%80-2-%E5%90%B3%E7%90%AA%E9%8A%98.jpg,民主進步黨,M,53,專科,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303150313231343634373439,24.71769,121.40371
分區立委,新北市,第11選區,新店區 深坑區 石碇區 坪林區 烏來區,羅明才,http://g0v-data.github.io/cec-crawler/images/000-%E6%96%B0%E5%8C%97%E5%B8%82-%E7%AC%AC11%E9%81%B8%E8%88%89%E5%8D%80-1-%E7%BE%85%E6%98%8E%E6%89%8D.jpg,中國國民黨,M,49,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303146313230393334393035,24.92256,121.95443
分區立委,新北市,第12選區,金山區 萬里區 汐止區 平溪區 瑞芳區 雙溪區 貢寮區,黃國昌,http://g0v-data.github.io/cec-crawler/images/000-%E6%96%B0%E5%8C%97%E5%B8%82-%E7%AC%AC12%E9%81%B8%E8%88%89%E5%8D%80-3-%E9%BB%83%E5%9C%8B%E6%98%8C.jpg,時代力量,M,43,博士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303146313234333732383736,25.35508,121.94757
分區立委,台中市,第1選區,大甲區 大安區 外埔區 清水區 梧棲區,蔡其昌,http://g0v-data.github.io/cec-crawler/images/000-%E8%87%BA%E4%B8%AD%E5%B8%82-%E7%AC%AC1%E9%81%B8%E8%88%89%E5%8D%80-4-%E8%94%A1%E5%85%B6%E6%98%8C.jpg,民主進步黨,M,47,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/31303430343030314c313230353432393734,24.32707,120.55229
分區立委,台中市,第2選區,沙鹿鎮 龍井鄉 大肚鄉 烏日鄉 霧峰 大里市2里,顏寬恒,http://g0v-data.github.io/cec-crawler/images/000-%E8%87%BA%E4%B8%AD%E5%B8%82-%E7%AC%AC2%E9%81%B8%E8%88%89%E5%8D%80-2-%E9%A1%8F%E5%AF%AC%E6%81%92.jpg,中國國民黨,M,39,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/31303430343030314c313232363937363936,24.02702,120.67657
分區立委,台中市,第3選區,,洪慈庸,http://g0v-data.github.io/cec-crawler/images/000-%E8%87%BA%E4%B8%AD%E5%B8%82-%E7%AC%AC3%E9%81%B8%E8%88%89%E5%8D%80-3-%E6%B4%AA%E6%85%88%E5%BA%B8.jpg,時代力量,F,34,大學,長,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/31303430343030314c323232383838303337,24.3577,120.84068
分區立委,台中市,第4選區,西屯區 南屯區,張廖萬堅,http://g0v-data.github.io/cec-crawler/images/000-%E8%87%BA%E4%B8%AD%E5%B8%82-%E7%AC%AC4%E9%81%B8%E8%88%89%E5%8D%80-2-%E5%BC%B5%E5%BB%96%E8%90%AC%E5%A0%85.jpg,民主進步黨,M,51,碩士,短,http://2016.cec.gov.tw/frontsite/2016/proofreader/canRPTArea/detail/1/313034303430303142313230333338363431,24.16054,120.4898
